"C_Number__c","C_Text__c","ActiveUsers__c","C_Percent__c"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
"746.25","RULESUI Account 1","11130.0","1450.0"
